Input,Product,Quantity,Tags
O Messag... ••oe ♦ 5:50 PM 18%C
sc hool-supply-list.com
1. 12 -#2. Pencils,Pencils,1,
2. 2- Glue Sticks,Glue Sticks,2,
3. 1- White Glue,Glue,3,White
4. 1- Pink Eraser,Eraser,4,Pink
S. 1- White Eraser,Eraser,1,White
O. 1- Pkg. Washable Felt,Washable Felt,1,Pkg.
■
7.
a
Markers,Markers,Multiple,
1- Pair Scissors,Scissors,1,Pair
1- Pencil Case,Pencil Case,1,
9. 10 - Pocket Folders,Pocket Folders,9,
10. 2 - Pkg. Lined Paper,Lined Paper,10,Pkg.
11. 1- Pkg. Plain Paper,Plain Paper,11,Pkg.
12.
•
1
