Input,Product,Quantity,Tags
'i =
Kit Includes Product Description
wa Type: ALL
"1 Ea Stylus, Pen Style, Universal, Aluminum Body, Asst",Stylus Pen Style Universal Aluminum Body Asst,1,Ea
1 Ea Earbuds w/ Case,Case,1,Ea
"1 Dz Pencils, #2, Ticonderoga, Sharpened, Dz.",Pencils Ticonderoga Sharpened Dozen,1Dozen,
"1 Ea Pencil Case, 3 -Hole, 10"" x 7"", Mesh Front, Asst.",Pencil Case Hole Mesh Front Asst,1,"10"",Ea"
"1 St Pencils, Colored, 7"", Sharpened, 12/Set",Set Pencils Colored Sharpened Set,1,"7"",St"
"2 Ea Glue Stick, Elmer's Washable, Purple, Dpies Clear, .21 oz.",Glue Stick Elmer Washable Purple Clear ounce,2,Ea
1 Pr
"Scissors, 7"", Pointed Tip, Latex Free, Asst.",Scissors Pointed Tip Latex Free Asst,Multiple,"7"""
"1 Ea, Folder, Poly, 2 Pocket, 3 Hole, Purple",Folder Pocket Hole,1,Purple
"2 Ea Folder, Poly, 2 Pocket, 3 Hole, Yellow",Folder Pocket Hole,2,"Ea,Yellow"
"1 Ea Folder, Poly, 2 Pocket, 3 Hole, Red",Folder Pocket Hole,1,"Ea,Red"
"1 Ea Folder, Poly, 2 Pocket, 3 Hole, Green",Folder Pocket Hole,1,"Ea,Green"
"1 Ea Folder, Poly, 2 Pocket, 3 Hole, Black",Folder Pocket Hole,1,"Ea,Black"
"6 Ea Pen, Ballpoint, Round Stic, Medium Point, Blue",Pen Ballpoint Round Medium Point,6,"Ea,Blue"
"2 Ea Pen, Ballpoint, Round Stic, Medium Point, Red",Pen Ballpoint Round Medium Point,2,"Ea,Red"
"1 Pk Highlighters, Chisel Tip, Yw/BI/Gn/Pk/Or/Pur, 6/pk",Pack Highlighters Chisel Tip,1,Pk
"3 Ea Stick On Notes, 3"" x 3"", Yellow,100 Sht/Pd",Stick Notes Yellow 100,3,"3"",Ea"
"1 Ea Binder, 3 Ring, Economy, 1/2"", Asst.",Binder Ring Economy Asst,1,"2"",Ea"
"1 Ea Binder, 3 Ring, Heavy Duty, View, 1"", White",Binder Ring Heavy Duty View,1,"1"",Ea,White"
"2 Ea Composition Book, Marble Cover, WR, 100 Shccts, Black",Composition Book Marble Cover 100,2,"Ea,Black"
"1 Pk Filler Paper, Wide Rule, 10.5"" x 8"", 120/Pk",Pack Filler Paper Wide Rule 20,1,"5"",Pk"
"1 Pk Index Cards, 3"" x 5"", Ruled, 100/Pk, White",Pack Index Cards Ruled 00,1,"3"",Pk,White"
"1 St Dividers, 3 Ring, 5 -Tab, 11"" x 8.5"", Asst.",Set Dividers Ring Tab Asst,1,"11"",St"
Important Parent Notes:,Important Parent Notes,Multiple,
Now Importantes Para Padres
