Input,Product,Quantity,Tags
GEOMETRY SUPPLIES
Due Monday 8121/17,Due Monday 8121,17,
"• Three R,ng Bonder",Bonder,Three,
• Dividers- 5 Tabs
• Paper whole package of wide or college ruled,Paper whole wide college ruled,1,package
• Graph Paper (teacher will provide),Graph Paper,Multiple,
Two Highlighters different colors,Highlighters different colors,Two,
• Two Dry Erase Markers,Dry Erase Markers,Two,
• Reinforcement Labels paper hole punch remforcers,Reinforcement Labels paper hole punch,Multiple,
. Calculator. TI-30X,Calculator,30X,
• Book Cover (Brown Paper Bog -when tact books are assign,Book Cover,1,
. Pend Pouch (with holes to be kept m binde,Pend Pouch,1,
ir;
BINDER GUIDELINES,BINDER GUIDELINES,Multiple,
rneuto binder cover: Assignment Shat,binder cover Assignment Shat,1,
