Input,Product,Quantity,Tags
1 BLUE single subject spiral notebook,single subject spiral notebook,1,BLUE
2 red pens,pens,2,red
2 yellow highlighters,highlighters,2,yellow
4 large pink erasers,large erasers,4,pink
4 green plastic folders,plastic folders,4,green
(solid green with pockets and no brads)
2 large Clorox Wipes (girls),large Clorox Wipes,2,
2 large boxes of Kleenex tissues,large Kleenex tissues,2,boxes
24 pack of Crayola crayons,Crayola crayons,24,pack
1 bottle of Elmer's glue,Elmer glue,1,bottle
8 glue sticks,glue sticks,8,
124 count box of colored pencils,colored pencils,124,box
2 skinny black dry erase markers,skinny dry erase markers,2,black
