Input,Product,Quantity,Tags
..00 T -Mobile LTE 11:43 AM 1 O 93%EE 0,Mobile,00,
hcjcany.org C
"First Grade opal, list",opal,1,
I hardcover wide ruled black composition book
I hard pencil case 2 1411 x5 5 8 W x 8 1 L,hard pencil case 1411,1,
48 sharpened Dixon Ticonderoga pencils,sharpened Dixon Ticonderoga pencils,48,
2 boxes of 24 ('rayola ('rayons
I box of 10 Crayola Classic Markers. Finc Line,Crayola Classic Markers Line,Multiple,box
4 Black Sharpie Markers EXTRA FINE Point,Sharpie Markers EXTRA FINE Point,4,Black
I yellow PLASTIC' pocket folder,PLASTIC pocket folder,1,yellow
I blue PLASTIC pocket folder,PLASTIC pocket folder,1,blue
12 LAR(GE. E:Imcrs Glue Sticks
6 Pink block erasers,block erasers,6,Pink
2 boxes of tissues,tissues,2,boxes
2 boxes of baby wipes,baby wipes,2,boxes
1 Ziploc pinch and seal sandwich bag,Ziploc pinch and seal sandwich bag,1,
6 Fine Black EXPO DRY ERASE Markers,Fine EXPO DRY ERASE Markers,6,Black
I Floppy 3 -ring binder 11 inch with inside
pockets),pockets,Multiple,
