Input,Product,Quantity,Tags
SUMMIT ELEMENTARY SCHOOL,SUMMIT,1,
SUPPLY LISTS 2013-2014,2013,2014,
t
Fourth Grade
ITEM,ITEM,1,
Man Box,Man,1,Box
"t ,Ppnrtl Bag (3 hues, canvas, nylon, vinyl)",Bag,1,
tl:ortpstivn pens (red),pens,Multiple,
"1? oocket, Plas'ic Folders (plain. no prongs)",Folders,1,
"1 , \tAntlatd Rlilpr"
A t (snrfh•Vtit►n Notebooks
1 svirai Notebooks,Notebooks,1,
"1 ' ""kilt*trs(standard)",kilt,1,
1 rkg Markers,Markers,1,
1 1Ros it awns (any site),awns,1,
aR it► ►pilow 1 _emits (sharpened)
1 t'kg loose leaf Notebook Paper (wide ruled,loose leaf Notebook Paper,1,
2 Gluts sticks,Gluts sticks,2,
(Poses of rascal Tissue,Poses rascal Tissue,Multiple,
"( I 1 Ili Pellt'N i.',ip trasers"
)
QTY
Fifth Grade
ITEM,ITEM,1,
1 Box of Sandwich Size Zip Lock Bags,Sandwich Size Zip Lock Bags,1,Box
"1 Pencil Bag (canvas, nylon or vinyl)",Pencil Bag,1,
3 Spiral Notebooks,Spiral Notebooks,3,
1 Composition Notebook,Composition Notebook,1,
2 Large Pink Erasers,Large Erasers,2,Pink
1 Pkg Pencil Cap Erasers,Package Pencil Cap Erasers,1,Pkg
1 Highlighter - any color,Highlighter any color,1,
1 Glue Stick,Glue Stick,1,
1 Standard Ruler,Standard Ruler,1,
"4 Four different colors of 2 pocket, plastic folders",Four different colors pocket plastic folders,4,
48 I!2 Yellow Pencils (sharpened),Pencils,48,Yellow
1 Pkg Markers (thin),Package Markers,1,Pkg
1 Pkg Colored Pencils,Package Colored Pencils,1,Pkg
2 Pkg loose Leaf Paper (wide ruled),Package loose Leaf Paper,2,Pkg
1 Pair Scissors (standard),Scissors,1,Pair
2 Red Ink Pens,Ink Pens,2,Red
1 Pkg Disinfectant Wipes,Package Disinfectant Wipes,1,Pkg
4 Boxes of Facial Tissue,Facial Tissue,4,Boxes
