Input,Product,Quantity,Tags
Si i'i'i 'i )1
"‘,'1 NEW BACKPACK",NEW BACKPACK,1,
t BOXES 24 -COUNT CRAYONS,CRAYONS,Multiple,BOXES
PACK WASHABLE MARKERS,WASHABLE MARKERS,Multiple,PACK
PACK COLORED PENCILS,COLORED PENCILS,Multiple,PACK
",./1 PINK ERASER",ERASER,1,PINK
'`I PENCIL BOX OR POUCH,PENCIL POUCH,1,BOX
DRY -ERASE MARKERS,DRY ERASE MARKERS,Multiple,
t GLUE STICKS,GLUE STICKS,Multiple,
z/1 BOTTLES 4 OZ. GLUE,GLUE,1,BOTTLES
"zot,"
1 I 3 I
d/1 RULER,RULER,1,
PAIR BLUNT -TIP SCISSORS,BLUNT TIP SCISSORS,Multiple,PAIR
WIDE -RULED SPIRAL,WIDE RULED SPIRAL,1,
NOTEBOOKS,NOTEBOOKS,Multiple,
i#4 PACK WIDE -RULED PAPER,WIDE RULED PAPER,1,PACK
002 TWIN -POCKET FOLDERS,TWIN POCKET FOLDERS,002,
644 NO. 2 PENCILS,PENCILS,644,
6/WIDE-RULED COMPOSITION,WIDE RULED COMPOSITION,6,
NOTEBOOK,NOTEBOOK,1,
