Input,Product,Quantity,Tags
Suopr's 220 7-20 8,220,8,
Y
3 packs of ilconderoga pencils,pack pencils,3,packs
6 boxes of crayons,crayons,6,boxes
15 glue sticks,glue sticks,15,
2 PRIMARY compositions notebooks,PRIMARY compositions notebooks,2,
• (Picture section at the
'op/writing lines a --
bo i i om)
"3 spiral notebooks (Red, Blue and",spiral notebooks,3,Blue
Yellow),Yellow,1,
2 nowt 3 prong Folders,prong Folders,2,
1 pack oF markers,markers,1,pack
1 pack oP highlighters,highlighters,1,pack
1 pack oF colored pens,colored pens,1,pack
Change of clothes in Scholar's book,Change clothes Scholar book,Multiple,
bag
0 2 bo i i les oP hand sanitizer,hand sanitizer,2,
ti 3 boxes oF Kleenex,Kleenex,1,boxes
C7 3 Clorox wipes canis,Clorox wipes,Multiple,
ti 1 pack colorec cards - (boys),cards,Multiple,pack
• Li I ream off copy paper (girls)
t i 1 oox oP Zi o oc c uar� - crags (boys)
1 Dox oF Zi o oc ga on bags (gir'is)
• air oP scissors,air scissors,Multiple,
L_} 1 pack of 3 block erasers,block erasers,Multiple,pack
2 packages Dry erase EXPO markers,Dry erase EXPO markers,2,packages
• Ear buds or headphones,Ear buds headphones,Multiple,
Technology --$I.00
Clinic -$I.00,Clinic,1,
• College/university T -,College university,1,
• L!
"r,"
1J
I ri
1
