Input,Product,Quantity,Tags
Home,Home,1,
Calibri Regular (B 11
A.
0 A
•
1. 27 black -and -white composition books,and white composition books,1,black
2. 2 pack of loose-leaf paper,loose leaf paper,2,pack
3. 5 Pencil case for supplies,Pencil case,3,
4. 23 glue sticks,glue sticks,4,
5. 10 elmers glue,elmers glue,5,
6. 12 red ballpoint pens,ballpoint pens,6,red
7. 5 ear buds headphone,ear buds headphone,7,
8. 6 pack of highlighter,highlighter,8,pack
9. 20 boxes of tissues,tissues,9,boxes
10. 5 School scissors (blunt),scissors,10,
11. 360 pencils,pencils,11,
12. 18 plastic pocket folders,plastic pocket folders,12,
13. 10 pocket folder with fasteners for 3 -hole punched papers,pocket folder,13,
14. 5 box of quart -sized zipper plastic bags,quart sized zipper plastic bags,14,box
15. 10 box of gallon -sized zipper plastic bags,sized zipper plastic bags,15,"box,gallon"
16. 10 pack of colored pencils,colored pencils,16,pack
17. 10 24 pack of crayon,crayon,17,pack
18. 5 dry ease eraser,dry ease eraser,18,
19. 10 bottles of hand sanitizer,hand sanitizer,19,bottles
20. 5 work rulers,work rulers,20,
21. 15 pack of ream paper,paper,21,"pack,ream"
22. 15 pink erasers,erasers,22,pink
23. 20 packs of spiral one subject notebooks,pack spiral one subject notebooks,23,packs
24. 10 baby wipe,baby wipe,24,
25. 10 packs of Clorox wipe,pack Clorox wipe,25,packs
26. 10 pack of 3x5 index card,index card,26,"3x5,pack"
27. 5 dry ease board,dry ease board,27,
28. 10 packs of sticky note,pack sticky note,28,packs
29. 5 packs of dry ease makers,pack dry ease makers,29,packs
QWER T Y U I 0
A SD F GHJK L
+ Z X CV BNM
B I U
PC)
return,return,1,
•
.?123
0
.?123
