Input,Product,Quantity,Tags
6801 Ventana Village,Village,6801,
R NW
Albuquerque NM 871,Albuquerque,871,
Date: 5/9/2017 7:52:01 PM,Date 2017,1,
Item Numbf,Item,1,
L V6155
208003
212009 •
207003
261045
?61095
26005
)8088
2S
!059
P
►12
27
1
2 St
1 Bx
1 Ea
1 St
4 Dz
2 Bx
1 Pr
8 Ea
1Pk
1Ea
1Pk
2 Pk
2 Pk
2 F
1 Ea
and
School/adz,adz,1,
CLI
tuns ii,tuns,Multiple,
7
Schooll idz
Sentry,Sentry,1,
Sargent Art,Sargent Art,1,
Crayola,Crayola,1,
SchoolKidz
Prang
Dixon,Dixon,1,
Scotties,Scotties,Multiple,
Westcott
Staples,Staples,Multiple,
Staples,Staples,Multiple,
Staples,Staples,Multiple,
Cline,Cline,1,
Staples,Staples,Multiple,
§mpIes
Good & Clean,Good Clean,1,
Bonus Items,Bonus,1,
SC 100,100,SC,
A C COMPANY,COMPANY,1,
3rd Grade Girls Supply List,Girls,3rd,
Ventana Ranch,Ranch,1,
Description:,Description,1,
Grade:
Type:,Type,1,
Account#:,Account,1,
Kit Number.,Kit Number,Multiple,
Description,Description,1,
"Storage Bags, Economy Zip, Sandwich, 50 Ct.",Storage Bags Economy Zip Sandwich,Multiple,
"Ruler, 12"", Plastic, Inch & Cm, Center Holes, Asst."
"Paper Towels, Roll, 2 Ply, 85 Sheets"
"Flash Drive, USB, 8 GB, Slide De!gn, Asst.",Flash Drive Slide Asst,1,
Earbuds w/ Case,Case,1,
"Pencils, Colored, 7"", Sharpened, 12/Set",Pencils Colored Sharpened Set,Multiple,"7"""
"Crayons, Crayola, Tuck Box. 24/Box"
"Pencil Case, Fabric, 3 -Hole w/Grommets, 10""x 6 Asst."
"Markers, Washable. Classic Colors, Wide Tip, 8/Set",Markers Washable Classic Colors Wide Tip Set,Multiple,
"Pencils, #2, Oriole, Sharpened, Latex Free, Dz.",Pencils Oriole Sharpened Latex Free Dozen,Multiple,
"Facial Tissue, 'Scotties', Hypo -Allergenic, 200 Ct."
"Scissors, 5"", Pointed Tip, Latex Free, Asst.",Scissors Pointed Tip Latex Free Asst,Multiple,"5"""
"Glue Stick, Staples Brand, Washable, White, .26 oz.",Glue Stick Staples Brand Washable White ounce,Multiple,
"Notebooks, Spiral, 2Pk, WR, 70Ct, Blue/Red",Notebooks Spiral Blue Red,1,
"Composition Book, Marble Cover, WR, 100 Sheets, BLK",Composition Book Marble Cover 100 Sheets,1,
"Feklers, 2 Pkt/Prong, 4Pk, Be/Rd/Gn/Yw",Pkt Prong,1,
"Erasers, Pencil Cap, Latex Free, 12/Pk"
"Filler Paper, Wide Rule, 10.5"" x 8"", 120/Pk",Filler Paper Wide Rule 120,1,"5"""
"Wipes, Disinfect, Bleach Free, Canister, 35 Ct."
"Free ""Money From Home"" Envelopes 8 Student ID labels"
3rd Grade
03
GIRLS,GIRLS,Multiple,
63384
6338403(
unt: 20
Delivered Kit Pri,Delivered Kit,1,
"For quzztions, cc"
email vernadel,email,1,
