Input,Product,Quantity,Tags
"1 ,1.►. --r"
"First Grade - ""*Charles Evans Students Only!'"
2- 1St Grade Handwriting Tablets (NO MEAD BRAND TABLETS),Handwriting Tablets,2,
1 Pair of Blunt tip School Scissors,Blunt tip Scissors,1,Pair
"Crayola Fine Line Marker, Classic Colors -10 Count",Crayola Fine Line Marker Classic Colors,1,
"Dry Erase Marker, Fine Point,-12/pack assorted",Dry Erase Marker Fine Point pack assorted,1,
4 Boxes (24 -Count) Crayola or Rose Art Crayons,Crayola Rose Art Crayons,4,Boxes
24 -No. 2 Pencils (Plain Yellow),Pencils,24,
"3 - Large boxes Kleenex - cup*""",Large Kleenex cup,3,boxes
1 -School Box (Cigar box size)
12-GIue Sticks -Qt^,Sticks,12,
1 - Boxes Wet Wipes — G'w►-'`,Wet Wipes,1,Boxes
"1 Box Ziploc Sandwich Bags -- c,��•",Ziploc Sandwich Bags,1,Box
2-Rubklean Erasers,Erasers,2,
1 Pkg. (10 -count) Wide Tip Crayola Markers (NO SHARPIES),Wide Tip Crayola Markers,1,Pkg.
1 Backpack (NO WHEELS),Backpack,1,
