Input,Product,Quantity,Tags
s• -
7 Grade:
1 pack of black pens,pens,1,"pack,black"
2 12- packs of pencils,pack pencils,2,packs
1 pack of colored pzacils,colored,1,pack
4 highlighters,highlighters,4,
"1 handheld shay Winer �. Mathematics,",handheld shay Winer Mathematics,1,
"4 1 -inch binders (ELA, Social St! _'es,",inch binders,4,
3 1 -subject notebooks (Social Studies),subject notebooks,3,
4pocketfolders- no prongs (1 ELA; 1 Mathematics; 2 Science),prongs,4pocketfolders,
4 packs 3x3 Post -Its (ELA) (Mathematics),pack Post Its,4,"3x3,packs"
1 marble composition graphing paper notebook (M,marble composition graphing paper notebook,1,
5 function c-nl_cai_Atol r- not scientific or graphing (IVtsIthematics),function not scientific graphing,5,
3 100 -page comp-osition books (Science),page comp books,3,
2 pocket folders with prongs (Science),pocket folders,2,
6 j.lmbo glue sticks (Science),glue sticks,6,
2 5 -pack dividers (Mathematics and Huth),pack dividers,2,
1 pack loose leaf paper (Health),loose leaf paper,1,pack
1 angle ruler,angle ruler,1,
"Recommended: 1 pencil box to hold writing utensils,"
etc.,etc,1,
"-,,,, •i r...y..,is,.....w'Cw.••^ :v...«....<• ""-. '.'•v* �r,J"
king_French.
"for iLI s ter .� .u.,_, :.til:Hv.,»+•+.l.r�,:,...r�"
1 1.5 -inch binder,inch binder,1,
1 1 -inch binder,inch binder,1,
1 pack of loose le-af paper,loose paper,1,pack
10 dividers,dividers,10,
10 clear plastic sheet protectors,clear plastic sheet protectors,10,
1 green pen,pen,1,green
1 blue pen,pen,1,blue
1 red pen,pen,1,red
"students t""king"
1 1 -subject notebook,subject notebook,1,
1 pocket folder,pocket folder,1,
1 pack of lined index cards,lined index cards,1,pack
2 dry erase markers,dry erase markers,2,
•
".c'vPrv""P':',""-""k'.-. :,t,.,,',-,••.-r,-,...r..-:,:.-•,"
"parish . ,.x.. _ 1....•.....................",parish,1,
"aiw.\\� -+ 1:•..iY�:i,9,i�.•1�dNJIr✓wfhh\`i.:J►.'Nn.�t�Y l.f..l...ia W...�. �l ....r{i�- � - awarM-. aaJJwi�."
Poi.,Poi,1,
". , ... ade students to ring..Latin: \:� �.. s _.:<:.•...; .........,'ua�:"
1 1 -inch binder,inch binder,1,
3 pocket dividers,pocket dividers,3,
1 pack loose leaf paper,loose leaf paper,1,pack
