Input,Product,Quantity,Tags
••o« c AT&T
8:21 PM
school-supply-Iist.com
70* 62%Mi.
1. 12 - #2 Pencils,Pencils,1,
2. 2 - Glue Sticks,Glue Sticks,2,
3. 1 - White Glue,Glue,3,White
4. 1 - Pink Eraser,Eraser,4,Pink
5. 1 - White Eraser,Eraser,5,White
6. 1 - Pkg. Washable Felt,Washable Felt,6,Pkg.
Markers,Markers,Multiple,
7. 1 - Pair Scissors,Scissors,7,Pair
8. 1 - Pencil Case,Pencil Case,8,
9. 10 - Pocket Folders,Pocket Folders,9,
10. 2 - Pkg. Lined Paper,Lined Paper,10,Pkg.
11. 1 - Pkg. Plain Paper,Plain Paper,11,Pkg.
12. 4 - Lined Composition,Lined Composition,12,
Notebooks,Notebooks,Multiple,
13. 10 - Blue Pens,Pens,13,Blue
14. 3 - Red Pens,Pens,14,Red
15. 1 - Ruler,Ruler,15,
