Input,Product,Quantity,Tags
Brown's Chapel! 4th Grade Suppify List 2017-2018,Brown Chapel 2017,2018,
• 1.5 inch Clear -view binder,inch Clear view binder,1,
• 5 Pocket Dividers for binder,Pocket Dividers,5,
"• 4 plastic folders with pockets and prongs -1 each red, green, blue, purple",plastic folders,4,purple
• 24 -pack #2 wooden pencils (Ticonderoga brand preferred),pack wooden pencils,24,
• 6 Expo -brand markers,Expo brand markers,6,
• 6 yellow highlighters,highlighters,6,yellow
• 3 packs wide -ruled loose-leaf notebook paper,pack wide ruled loose leaf notebook paper,3,packs
• 3 composition books (wide -ruled),composition books,3,
• Sharp -point scissors,Sharp point scissors,Multiple,
• 8 glue sticks (Elmer's brand preferred),glue sticks,8,
• 24 -count crayons or twistables (Crayola brand preferred),crayons,24,
• 1 package cap erasers,cap erasers,1,package
• 1 large box Kleenex,large Kleenex,1,box
• 3 -pack sticky notes,pack sticky notes,3,
• 3 -ring zipper pouch for supplies (kept in binder),ring zipper pouch,3,
• 1 pkg red pens,package pens,1,"pkg,red"
