Input,Product,Quantity,Tags
"w • y �«o, oelow, a list of items that we would lik"
start of our new school chool year.  a w
EAD! onderful summer and don't,summer and don,1,
"Sincerely,"
The Fifth Grade Team
5th Qrad Supply List
-Folders (2 - any style),Folders,Multiple,
-Notebooks (6- any style),Notebooks,Multiple,
-Highlighters (2 -different colors),Highlighters,Multiple,
"-Crayons, Markers or Colored Pencils",Crayons Markers Colored Pencils,Multiple,
-Scissors,Scissors,Multiple,
-Post Its (2 packs),Post Its,1,
-Pencils (box of 12),Pencils,Multiple,
-Pens (ookoed- 2),Pens,Multiple,
-Pens (blue or black),Pens,Multiple,
