Input,Product,Quantity,Tags
"6`"" Grade Supply List 2017-2018",2017 2018,6,
• 1 large 3 -ring binder to be U=t-±d for all classes
❖ white loose-leaf wide -ruled notebook Paper,loose leaf wide ruled notebook Paper,1,white
❖ head phones for computers anti plastic bag for storing,head phones,Multiple,
❖ hand held pencil sharpener,hand held pencil sharpener,1,
❖ eraser and cap erasers,eraser and cap erasers,Multiple,
❖ 12 subject dividers,subject dividers,12,
• 2 single -subject spiral notebooks- 1 each for Math and Engt;sh,single subject spiral notebooks each,2,
❖ highlighters,highlighters,Multiple,
❖ red pens,pens,Multiple,red
••• #2 pencils with erasers or mechanical pencils,pencils,2,
❖ blue or black ballpoint ink pens,ballpoint ink pens,Multiple,"blue,black"
❖ gummed paper re -enforcers,gummed paper enforcers,Multiple,
❖ colored pencils,colored pencils,Multiple,
❖ 2 - 3x5 index cards — (give one package to your English teacher),index cards,2,"3x5,package"
❖ pencil pouch,pencil pouch,1,
❖ glue sticks - 2 (give one to your English teacher),glue sticks,2,
❖ 2 large boxes of tissues,large tissues,2,boxes
❖ dictionary (home use only)
❖ safety scissors,safety scissors,Multiple,
❖ 1 12oz. bottle of hand sanitizer,hand sanitizer,1,bottle
❖ file folders (to save old tests and papers),file folders,Multiple,
❖ flashdrive/thumbdrive (an inexpensive one -not huge capacity)
Sunniv (list for World Lanauace
Your teacher will provide a supply list the first week of school
