Input,Product,Quantity,Tags
3rd Grace Sc loo Sup) ie5
Please bring these items for the first day of school!
"• 5 Marble Notebooks (Please purchase the following colors - Red, Green,",Marble Notebooks,5,
"Purple, Blue, Yellow)",Purple Blue Yellow,1,
"• 6 Folders with 2 bottompockets(please purchase the following colors - Red,",Folders,6,
"Purple, Yell",Purple Yell,1,
"p ow Green Blue, Orange)",Blue Orange,1,Green
• 48 Pre -sharpened #2 Pencils,sharpened Pencils,48,
• 8 pack Pilot Frixion erasable pens (blue colored),Pilot erasable pens,8,pack
• 1 Eraser,Eraser,1,
• 1 Pair of scissors,scissors,1,Pair
• 6 Glue sticks (jumbo sized),Glue sticks,6,
• 1 Standard 12 inch ruler,Standard inch ruler,1,
• 1 Box of 12 Crayola Colored Pencils,Crayola Colored Pencils,1,Box
• 1 Pack of 8 Washable Crayola Markers (Thick),Washable Crayola Markers,1,Pack
• 1 Pack of 8 Washable Crayola Markers (Thin),Washable Crayola Markers,1,Pack
• 1 Pack of Dry -erase markers (Thick),Dry erase markers,1,Pack
• 1 Roll of Scotch Tape,Scotch Tape,1,Roll
• 4 Packs of Post -its (50 count),Post its,4,Packs
• 5 Fluorescent Highlighters (varied colors),Fluorescent Highlighters,5,
• 1 Ream of Computer paper,Computer paper,1,Ream
• 2 Reams of Loose-leaf paper (wide -rule),Reams Loose leaf paper,2,
• 3 Yellow legal notepads,legal notepads,3,Yellow
• 1 Pack of Blue Fun -Tack (GIRLS),Fun Tack,1,"Pack,Blue"
• 1 RoII of Blue Painters Tape (BOYS),Painters Tape,1,Blue
• 1 Letter sized clipboard,Letter sized clipboard,1,
• 1 Roll of Paper Towel,Paper Towel,1,Roll
• 1 Box of Tissues,Tissues,1,Box
• 1 Package of Clorox Wipes,Clorox Wipes,1,Package
• 1 Bottle of Antibacterial Soap,Antibacterial Soap,1,Bottle
• 1 p of 3x5 (small) index cards,index cards,1,3x5
• 1 Box of Callon Size Ziploc Bags,Size Ziploc Bags,1,Box
