Input,Product,Quantity,Tags
Sunnly List
Grade 4
• Box of crayons or markers,crayons markers,Multiple,Box
• Several sharpened pencils,Several sharpened pencils,Multiple,
• Pencil pouch,Pencil pouch,1,
"• 4 spiral bound one -subject notebooks (1 blue, 1 red, 1 yellow, and",spiral bound one subject notebooks,4,
1 green),green,1,
"• 6 plain two -pocket folders (1 blue, 1 red, 1 yellow, 1 green, 1",plain two pocket folders,6,
"purple, and 1 any color or design of your choice)"
• Eraser caps,Eraser caps,Multiple,
• 1 set of headphones (to be used with the computers),headphones,1,set
• Sticky notes,Sticky notes,Multiple,
Optional
• Index cards,Index cards,Multiple,
• Gallon -sized Ziploc bags,sized Ziploc bags,Multiple,Gallon
• Sandwich -sized Ziploc bags,Sandwich sized Ziploc bags,Multiple,
• Paper towels,Paper towels,Multiple,
• Tissues,Tissues,Multiple,
"• ""Wet Ones"" wipes",Wet Ones wipes,Multiple,
• 1 package of lined notebook paper,lined notebook paper,1,package
