Input,Product,Quantity,Tags
* Book Bag,Book Bag,1,
* 2 packs of pink erasers of 4,pack erasers,2,"packs,pink"
* boxes of 12 pencils,pencils,Multiple,boxes
2
* 1 pack o Clorox wipes,Clorox wipes,1,pack
* 1 box of tissues,tissues,1,box
* 1 pack of EXPO markers,EXPO markers,1,pack
* 3 bo x3s of 1 quart zip -lock bags,quart zip lock bags,3,
*4 packs of 6 glue sticks,pack glue sticks,4,packs
"in zip ba i:b'�ue suveatpants�, Slirt, socks"
* change of clothes a big lock �,change clothes big lock,Multiple,
a g
* 2 packs of crayons,pack crayons,2,packs
*1 pack of multi -color construction paper IY81/2 x 111,multi color construction paper,1,"2 x 1,pack"
*2 reams of Staples copy paper,reams Staples copy paper,2,
* 2 packs of index cards,pack index cards,2,packs
* one 4 pack of Play doh,Play,one,pack
