Input,Product,Quantity,Tags
Cordello Elementa School
Grade 5 SupplY List for 2017-18
• 1 2inch binder,binder,1,
• 1 pkg. of 6 subject dividers,subject dividers,1,pkg.
• 50 No. 2 Ticonderoga pencils (sharpened),Ticonderoga pencils,50,
(no mechanical pencils please),mechanical pencils please,Multiple,
• Pencil sharpener that includes a bottom to catch the shavings
• Black fine tip dry erase markers (EXPO Brand),fine tip dry erase markers,1,Black
"• 1 box of 48 assorted crayons, colored pencils or markers",assorted crayons colored pencils markers,1,box
• 2 glue sticks,glue sticks,2,
• 5 black and white composition notebooks,and composition notebooks,5,"black,white"
"• Folders with bottom pockets (red, yellow, blue, green)",Folders,Multiple,
• 2 pkgs. of 3x5 post -it notes,post notes,2,3x5
• 2 pkgs. of 3x5 ruled index cards,ruled index cards,2,3x5
• Scissors,Scissors,Multiple,
• Tissues,Tissues,Multiple,
• Ear buds or headphones,Ear buds headphones,Multiple,
• Ruler,Ruler,1,
• Dictionary/Thesaurus,Dictionary Thesaurus,1,
Your child's teacher may ask for additional items in the fa''
