Input,Product,Quantity,Tags
3rd Grade
Moriarty • 5 Composition notebooks (one,Moriarty Composition notebooks,Multiple,
"of each color if possible - red,"
"blue, yellow, green, purple)"
• 2 Pocket folders,Pocket folders,2,
• Crayons,Crayons,Multiple,
• Colored pencils,Colored pencils,Multiple,
• Hardcover pencil box,Hardcover pencil,1,box
• Pencils and erasers,Pencils and erasers,Multiple,
• 6 Glue sticks,Glue sticks,6,
• 4 Dry erase markers,Dry erase markers,4,
• Pair of scissors,scissors,Multiple,Pair
• One roll of duct tape (any color,duct tape,One,roll
"- red, blue, yellow, green or",red blue yellow,1,green
purple),purple,1,
• One folder and one notebook,folder and one notebook,One,
for Spanish
