"K.Pcd,e1r-c,aren"
SUDDy JS
axes a',axes,Multiple
crayons,crayons,Multiple
8 :um Do
#2 Denci s
Dock 0 erasers :00 �   ymer Dra,Dock erasers,Multiple
Dr .
6 um Do c ue sicks,sicks,6
2 Do - es ue
D ox
Zi D 00 ga on size Dags gits,size,1
o
Zi D 00 Cuar.. size bags-- Doys,size bags,Multiple
�
pack a' C paper,pack paper,1
y r_ j e n C i D O U C
z
". 5"" D urn .. me -- scissors",urn scissors,5
pair o
._
