Brand Name Product Description Kit Includes
"Clorox Wipes, Disinfecting. Beath Free, Lemon Scent, Crlstr, 35 Ct 1 Ea"
"Cline Folder, Poly, 2 Pocket, Blue 1 Ea",Cline Folder Pocket Blue,1
"Roaring/Comet Graph Paper, Spira1 Noe k, 4 Sa/In, 11""x9"", 100 Ct, 3 HP 2 Ea"
"Staples Clue Stick, Staples Brand, Washable, White, .26 oz. 6 Ea"
"Staples Erman, Pendl Cap, Latex Free, 12/Pk 2 Pk"
"Staples Composition Book, Marble Cover, WR, 100 Sheets, BU( 3 Ea"
"Staples Filler Paper, Wide Rule, 10.5"" x 8"", 120/Pk 3 Pk"
"Avery Dividers, 3 Ring, Write On, 5 -Tab, 11"" x 8.5"" 4 St"
"CU Reiaarcements, Round, White, 1/4"", 100/Pk 1 Pk",Round White 100,1
"Staples Pen, Stick, Medium Point, Blue 2 Ea"
"Staples Pencils, 12, Unsharpened. All Wood, Dz. 2 Pk",Staples Pencils Unsharpened All Wood,Multiple
"Prang Pencils, Colored, 7"", Sharpened, 12/Set 1 St",Pencils Colored Sharpened Set,Multiple
"Fcc'Ite Index Cards, 3"" x 5"", Ruled, 100/Pk, White 2 Pk",Index Cards Ruled 100 White,Multiple
"Staples Highlighters, Chisel lip, Yw/81/Gp/Pk/Or/Pur, 6/pk 1 Pk"
"Staples Pencil (""2ca, Fwn, Multi-Pkt, 11"" x 9"", 3 Hole, A! t 1 Es"
"Maped Sharpener, Pencil & Crayon, Obi Barrel, Canister 1 Ea"
"Sc otdes Fadal Tissue. 'Scot*!', Hypo -Allergenic, 200 0. 2 Bx",Tissue Scot Hypo Allergenic 200,1
"Expo 2 Markers, Dry Erase, Fine, Low Odor, Asst. 4/Pk. 1 Pk"
"Wilson Jones Binder, 3 Ring, Heavy Duty, View, 1"", Blade 1 Ea"
"Wilson lanes Binder, 3 Ring, Heavy Duty, View, 1"", White 1 Ea"
"Avery Binder, 3 Ring, Durable, 1"", EZ Ring, Red 1 Ea"
"Avery Binder, 3 Ring, Durable, r, EZ Ring, Green 1 Ea"
"Wilson lanes Binder, 3 Ring, Heavy Duty, View, 2"", White 1 Ea"
"Cli Expanding File, Fabric Poly, Liit=. 13 Pckt, Zip,Blue 1 Ea"
"Bonus Items riee ""Money From Home"" Envelopes & Student ID Labels 1 Ea"
Total Delivered Kit Cost: $90.00,Total Delivered Kit Cost,00
