"Q,v4.tdNew Elaneinttuy"
Kai.SuppI Lot,Kai Lot,1
2037-2018
2 plastic folders with pockets,plastic folders,2
2 black A wOute PQIMARY conyosition notebooks,notebooks,2
1 LAR bock pock (no *Steels please),bock pock,1
2 small bottles of Ebner s gyre,small,2
b large glue sticks (whi tc only please),large glue sticks,Multiple
1 heir of I. now.r's Ticonderoga Pic i is,heir now Ticonderoga,1
1 scsssor (rounded tip) Pedlars brand,brand,1
2 boxes of tissues,tissues,2
1 box of 24 count 04114111111 crayons,04114111111 crayons,1
1 Package of colored pencils,colored pencils,1
1 package of block Expo dry erase markers,block Expo dry erase markers,1
1 package of color Expo dry erase markers,color Expo dry erase markers,1
1 gallon sae 1splorc bogs (boys),bogs,1
1 sandwich size Z'pl c bags (girls),sandwich size bags,1
1 package of index curds,index curds,1
"""Sea*areol chomp of clothes - lrbsisd iw si Zip$oc bag"
bottom of the booibog
"Fond4y, Xioubeirgaettoiteream."
